record_id,caller_id,callee_id,caller_phone,callee_phone,caller_name,callee_name,timestamp,duration_seconds,cell_tower_location
CDR-0000,P-0015,P-0004,8501429401,6724238849,Nayantara Kumar,Lakshit Sagar,2025-10-04T19:18:34,10,Tower-39-Pune
CDR-0001,P-0009,P-0006,2677360260,5430391171,Divij Shetty,Ayesha Andra,2025-06-07T08:43:05,69,Tower-16-Nagpur
CDR-0002,P-0018,P-0001,0163287083,3321819600,Nirvaan Borah,R. Kumar,2025-09-30T04:34:43,141,Tower-43-Pune
CDR-0003,P-0021,P-0024,2720465375,3799650752,Dharmajan Rout,Ranbir Wadhwa,2025-04-19T19:38:06,215,Tower-46-Pune
CDR-0004,P-0003,P-0007,2553419283,5098393010,Amani Ravi,Nishith Chowdhury,2025-05-07T08:10:51,75,Tower-22-Mumbai
CDR-0005,P-0010,P-0004,7882081219,6724238849,S. Patil,Lakshit Sagar,2025-01-31T08:20:07,79,Tower-3-Pune
CDR-0006,P-0002,P-0007,1161559407,5098393010,Indrans Chokshi,Nishith Chowdhury,2025-03-09T20:47:27,600,Tower-31-Mumbai
CDR-0007,P-0038,P-0039,6232858842,4965137098,Ritvik Gade,Amani Gour,2025-02-19T23:59:34,451,Tower-23-Pune
CDR-0008,P-0009,P-0002,2677360260,1161559407,Divij Shetty,Indrans Chokshi,2025-02-25T09:03:11,206,Tower-13-Nagpur
CDR-0009,P-0012,P-0003,4124118244,2553419283,Nitya Taneja,Amani Ravi,2025-02-08T16:08:02,573,Tower-7-Mumbai
CDR-0010,P-0015,P-0001,8501429401,3321819600,Nayantara Kumar,Rajesh Kumar,2025-05-02T06:03:18,426,Tower-32-Pune
CDR-0011,P-0004,P-0006,6724238849,5430391171,Lakshit Sagar,Ayesha Andra,2025-07-19T09:39:20,475,Tower-19-Pune
CDR-0012,P-0015,P-0008,8501429401,6566701065,Nayantara Kumar,Divit Bava,2025-01-30T21:05:14,565,Tower-4-Nagpur
CDR-0013,P-0001,P-0008,3321819600,6566701065,Rajesh Kumar,Divit Bava,2025-09-29T05:43:55,68,Tower-33-Mumbai
CDR-0014,P-0018,P-0035,0163287083,4316117240,Nirvaan Borah,Miraan Raval,2025-07-26T04:21:53,593,Tower-16-Nagpur
CDR-0015,P-0015,P-0002,8501429401,1161559407,Nayantara Kumar,Indrans Chokshi,2025-09-25T11:31:07,277,Tower-14-Nagpur
CDR-0016,P-0038,P-0039,6232858842,4965137098,Ritvik Gade,Amani Gour,2025-12-10T23:30:07,317,Tower-30-Pune
CDR-0017,P-0018,P-0016,0163287083,9514846564,Nirvaan Borah,Darshit Salvi,2025-02-21T02:40:02,560,Tower-14-Nagpur
CDR-0018,P-0003,P-0006,2553419283,5430391171,Amani Ravi,Ayesha Andra,2025-03-22T15:57:13,566,Tower-46-Pune
CDR-0019,P-0015,P-0001,8501429401,3321819600,Nayantara Kumar,Rajesh Kumar,2025-12-06T03:46:17,147,Tower-17-Mumbai
CDR-0020,P-0033,P-0020,0449972787,0967054668,Vedika Kulkarni,Amit Sharma,2025-06-25T07:24:45,280,Tower-33-Pune
CDR-0021,P-0001,P-0006,3321819600,5430391171,Rajesh Kumar,Ayesha Andra,2025-01-23T00:07:44,351,Tower-50-Mumbai
CDR-0022,P-0011,P-0003,3462475107,2553419283,Oorja Sehgal,Amani Ravi,2025-08-07T20:25:19,19,Tower-8-Mumbai
CDR-0023,P-0040,P-0020,8692617964,0967054668,Tushar Sampath,Amit Sharma,2025-10-26T20:07:00,161,Tower-28-Mumbai
CDR-0024,P-0003,P-0006,2553419283,5430391171,Amani Ravi,Ayesha Andra,2025-05-08T03:44:33,372,Tower-50-Nagpur
CDR-0025,P-0029,P-0035,3242102499,4316117240,Aarna Bhandari,Miraan Raval,2025-05-02T05:54:59,191,Tower-27-Mumbai
CDR-0026,P-0003,P-0007,2553419283,5098393010,Amani Ravi,Nishith Chowdhury,2025-05-08T09:42:50,173,Tower-45-Mumbai
CDR-0027,P-0001,P-0007,3321819600,5098393010,R. Kumar,Nishith Chowdhury,2025-08-24T12:43:50,322,Tower-15-Mumbai
CDR-0028,P-0002,P-0007,1161559407,5098393010,Indrans Chokshi,Nishith Chowdhury,2025-05-23T12:47:05,531,Tower-26-Nagpur
CDR-0029,P-0033,P-0026,0449972787,7498941343,Vedika Kulkarni,Kartik Chokshi,2025-05-14T06:30:05,281,Tower-3-Mumbai
CDR-0030,P-0011,P-0006,3462475107,5430391171,Oorja Sehgal,Ayesha Andra,2025-03-01T14:01:28,600,Tower-13-Pune
CDR-0031,P-0004,P-0006,6724238849,5430391171,Lakshit Sagar,Ayesha Andra,2025-12-18T07:10:25,382,Tower-28-Mumbai
CDR-0032,P-0026,P-0035,7498941343,4316117240,Kartik Chokshi,Miraan Raval,2025-06-03T18:27:49,326,Tower-43-Pune
CDR-0033,P-0003,P-0008,2553419283,6566701065,Amani Ravi,Divit Bava,2025-07-14T06:20:10,592,Tower-20-Pune
CDR-0034,P-0009,P-0005,2677360260,4801845146,Divij Shetty,Deepak Verma,2025-10-24T22:05:16,339,Tower-30-Pune
CDR-0035,P-0010,P-0008,7882081219,6566701065,Suresh Patil,Divit Bava,2025-03-28T23:59:16,96,Tower-19-Nagpur
CDR-0036,P-0015,P-0006,8501429401,5430391171,Nayantara Kumar,Ayesha Andra,2025-05-01T11:18:07,240,Tower-13-Mumbai
CDR-0037,P-0002,P-0007,1161559407,5098393010,Indrans Chokshi,Nishith Chowdhury,2025-08-22T15:05:21,599,Tower-13-Nagpur
CDR-0038,P-0012,P-0007,4124118244,5098393010,Nitya Taneja,Nishith Chowdhury,2025-01-03T03:52:50,445,Tower-15-Mumbai
CDR-0039,P-0040,P-0032,8692617964,6131712748,Tushar Sampath,Ishita Amble,2025-03-04T16:37:09,146,Tower-30-Nagpur
CDR-0040,P-0015,P-0006,8501429401,5430391171,Nayantara Kumar,Ayesha Andra,2025-11-10T18:22:42,446,Tower-36-Pune
CDR-0041,P-0031,P-0030,4516808760,9904902787,Amani Basu,Divij Contractor,2025-11-23T10:05:47,543,Tower-32-Nagpur
CDR-0042,P-0004,P-0006,6724238849,5430391171,Lakshit Sagar,Ayesha Andra,2025-06-21T11:38:24,563,Tower-6-Mumbai
CDR-0043,P-0004,P-0008,6724238849,6566701065,Lakshit Sagar,Divit Bava,2025-08-01T14:50:24,348,Tower-35-Pune
CDR-0044,P-0010,P-0007,7882081219,5098393010,Suresh Patil,Nishith Chowdhury,2025-12-23T00:42:40,599,Tower-25-Pune
CDR-0045,P-0003,P-0007,2553419283,5098393010,Amani Ravi,Nishith Chowdhury,2025-08-03T19:35:45,569,Tower-39-Mumbai
CDR-0046,P-0011,P-0007,3462475107,5098393010,Oorja Sehgal,Nishith Chowdhury,2025-12-09T14:43:14,179,Tower-30-Mumbai
CDR-0047,P-0033,P-0016,0449972787,9514846564,Vedika Kulkarni,Darshit Salvi,2025-12-06T00:59:12,95,Tower-42-Pune
CDR-0048,P-0004,P-0006,6724238849,5430391171,Lakshit Sagar,Ayesha Andra,2025-04-19T16:33:18,344,Tower-22-Pune
CDR-0049,P-0004,P-0007,6724238849,5098393010,Lakshit Sagar,Nishith Chowdhury,2025-10-04T01:53:46,368,Tower-15-Nagpur
CDR-0050,P-0001,P-0006,3321819600,5430391171,Rajesh Kumar,Ayesha Andra,2025-01-11T22:37:19,166,Tower-16-Mumbai
CDR-0051,P-0009,P-0004,2677360260,6724238849,Divij Shetty,Lakshit Sagar,2025-07-08T06:06:32,127,Tower-50-Mumbai
CDR-0052,P-0019,P-0034,7347143455,2702895171,Navya Devi,Nitara Sule,2025-12-13T13:39:52,416,Tower-46-Mumbai
CDR-0053,P-0002,P-0006,1161559407,5430391171,Indrans Chokshi,Ayesha Andra,2025-12-17T21:51:37,133,Tower-37-Mumbai
CDR-0054,P-0004,P-0008,6724238849,6566701065,Lakshit Sagar,Divit Bava,2025-06-24T00:27:38,440,Tower-32-Mumbai
CDR-0055,P-0011,P-0008,3462475107,6566701065,Oorja Sehgal,Divit Bava,2025-09-25T23:40:56,286,Tower-40-Nagpur
CDR-0056,P-0038,P-0039,6232858842,4965137098,Ritvik Gade,Amani Gour,2025-10-31T09:46:19,340,Tower-16-Mumbai
CDR-0057,P-0004,P-0006,6724238849,5430391171,Lakshit Sagar,Ayesha Andra,2025-12-09T13:47:54,354,Tower-2-Pune
CDR-0058,P-0021,P-0031,2720465375,4516808760,Dharmajan Rout,Amani Basu,2025-06-24T10:10:55,292,Tower-36-Mumbai
CDR-0059,P-0010,P-0002,7882081219,1161559407,S. Patil,Indrans Chokshi,2025-10-12T08:44:59,497,Tower-42-Nagpur
CDR-0060,P-0009,P-0002,2677360260,1161559407,Divij Shetty,Indrans Chokshi,2025-05-05T11:08:55,387,Tower-31-Nagpur
CDR-0061,P-0012,P-0006,4124118244,5430391171,Nitya Taneja,Ayesha Andra,2025-06-06T09:09:11,246,Tower-8-Nagpur
CDR-0062,P-0001,P-0008,3321819600,6566701065,Rajesh Kumar,Divit Bava,2025-04-05T06:58:25,231,Tower-48-Pune
CDR-0063,P-0005,P-0008,4801845146,6566701065,Deepak Verma,Divit Bava,2025-04-10T10:47:09,242,Tower-24-Mumbai
CDR-0064,P-0005,P-0006,4801845146,5430391171,D. Verma,Ayesha Andra,2025-10-11T10:38:10,139,Tower-41-Pune
CDR-0065,P-0001,P-0008,3321819600,6566701065,R. Kumar,Divit Bava,2025-06-24T06:42:44,62,Tower-17-Pune
CDR-0066,P-0001,P-0007,3321819600,5098393010,Rajesh Kumar,Nishith Chowdhury,2025-12-18T01:57:06,165,Tower-10-Nagpur
CDR-0067,P-0018,P-0023,0163287083,5865185067,Nirvaan Borah,Yashvi Mandal,2025-11-07T21:42:15,241,Tower-50-Nagpur
CDR-0068,P-0004,P-0007,6724238849,5098393010,Lakshit Sagar,Nishith Chowdhury,2025-06-06T20:42:11,71,Tower-40-Nagpur
CDR-0069,P-0002,P-0008,1161559407,6566701065,Indrans Chokshi,Divit Bava,2025-03-22T08:43:59,187,Tower-36-Mumbai
CDR-0070,P-0004,P-0007,6724238849,5098393010,Lakshit Sagar,Nishith Chowdhury,2025-01-17T08:25:40,305,Tower-46-Pune
CDR-0071,P-0038,P-0039,6232858842,4965137098,Ritvik Gade,Amani Gour,2025-05-16T22:45:27,212,Tower-28-Mumbai
CDR-0072,P-0010,P-0005,7882081219,4801845146,Suresh Patil,D. Verma,2025-03-26T11:11:59,592,Tower-19-Pune
CDR-0073,P-0003,P-0008,2553419283,6566701065,Amani Ravi,Divit Bava,2025-10-04T17:58:42,458,Tower-6-Nagpur
CDR-0074,P-0004,P-0008,6724238849,6566701065,Lakshit Sagar,Divit Bava,2025-02-16T08:20:05,599,Tower-38-Mumbai
CDR-0075,P-0037,P-0004,4406409097,6724238849,Kaira Gola,Lakshit Sagar,2025-03-31T17:07:49,541,Tower-42-Pune
CDR-0076,P-0021,P-0034,2720465375,2702895171,Dharmajan Rout,Nitara Sule,2025-02-16T17:06:45,366,Tower-27-Pune
CDR-0077,P-0001,P-0006,3321819600,5430391171,Rajesh Kumar,Ayesha Andra,2025-05-28T14:34:48,573,Tower-3-Pune
CDR-0078,P-0003,P-0007,2553419283,5098393010,Amani Ravi,Nishith Chowdhury,2025-09-21T00:02:30,565,Tower-30-Pune
CDR-0079,P-0005,P-0007,4801845146,5098393010,Deepak Verma,Nishith Chowdhury,2025-08-15T01:52:44,218,Tower-18-Nagpur
CDR-0080,P-0003,P-0007,2553419283,5098393010,Amani Ravi,Nishith Chowdhury,2025-01-15T22:56:18,255,Tower-46-Mumbai
CDR-0081,P-0001,P-0008,3321819600,6566701065,Rajesh Kumar,Divit Bava,2025-02-28T16:48:02,130,Tower-42-Mumbai
CDR-0082,P-0011,P-0005,3462475107,4801845146,Oorja Sehgal,Deepak Verma,2025-08-30T08:52:26,477,Tower-36-Mumbai
CDR-0083,P-0005,P-0008,4801845146,6566701065,Deepak Verma,Divit Bava,2025-02-05T10:03:28,434,Tower-22-Nagpur
CDR-0084,P-0001,P-0007,3321819600,5098393010,Rajesh Kumar,Nishith Chowdhury,2025-10-24T17:49:38,162,Tower-29-Nagpur
CDR-0085,P-0011,P-0007,3462475107,5098393010,Oorja Sehgal,Nishith Chowdhury,2025-04-07T08:41:40,595,Tower-25-Mumbai
CDR-0086,P-0029,P-0017,3242102499,3872148951,Aarna Bhandari,Anahita Kant,2025-07-15T14:03:24,165,Tower-32-Mumbai
CDR-0087,P-0005,P-0007,4801845146,5098393010,Deepak Verma,Nishith Chowdhury,2025-08-14T03:37:49,548,Tower-30-Mumbai
