event_id,person_id,person_name,location_name,location_lat,location_lon,timestamp_start,timestamp_end
EVT-0001,P-0038,Ritvik Gade,"Crawford Market, Mumbai",18.9481,72.8338,2025-10-05T16:44:09,2025-10-05T17:29:09
EVT-0002,P-0038,Ritvik Gade,"Crawford Market, Mumbai",18.9481,72.8338,2025-10-26T16:44:09,2025-10-26T17:14:09
EVT-0001,P-0015,Nayantara Kumar,"Crawford Market, Mumbai",18.9481,72.8338,2025-10-05T16:44:09,2025-10-05T17:29:09
EVT-0002,P-0015,Nayantara Kumar,"Crawford Market, Mumbai",18.9481,72.8338,2025-10-26T16:44:09,2025-10-26T17:14:09
EVT-0003,P-0012,Nitya Taneja,Rajpur Sonarpur,19.3866,73.2202,2025-07-01T23:25:19,2025-07-02T01:22:19
EVT-0003,P-0032,Ishita Amble,Rajpur Sonarpur,18.3845,72.493,2025-07-01T23:25:19,2025-07-02T01:22:19
EVT-0004,P-0040,Tushar Sampath,Dhanbad,18.4146,73.41,2025-06-02T10:31:20,2025-06-02T12:16:20
EVT-0004,P-0022,Akarsh Rastogi,Dhanbad,18.6341,72.6976,2025-06-02T10:31:20,2025-06-02T12:16:20
EVT-0005,P-0020,Amit K. Sharma,Latur,18.6903,73.5461,2025-07-14T14:21:52,2025-07-14T16:20:52
EVT-0005,P-0021,Dharmajan Rout,Latur,18.293,72.0841,2025-07-14T14:21:52,2025-07-14T16:20:52
EVT-0006,P-0006,Ayesha Andra,Buxar,19.6559,72.5423,2025-09-03T07:47:27,2025-09-03T08:27:27
EVT-0006,P-0025,Prisha Khanna,Buxar,19.124,72.5432,2025-09-03T07:47:27,2025-09-03T08:27:27
EVT-0007,P-0007,Nishith Chowdhury,Coimbatore,18.4657,72.2004,2025-09-29T08:12:59,2025-09-29T09:48:59
EVT-0007,P-0018,Nirvaan Borah,Coimbatore,18.6606,72.9448,2025-09-29T08:12:59,2025-09-29T09:48:59
EVT-0008,P-0009,Divij Shetty,Dharmavaram,19.8701,73.7568,2025-03-22T14:48:54,2025-03-22T16:26:54
EVT-0008,P-0001,Rajesh Kumar,Dharmavaram,18.9549,72.3989,2025-03-22T14:48:54,2025-03-22T16:26:54
EVT-0009,P-0021,Dharmajan Rout,Muzaffarpur,18.4644,73.4774,2025-02-15T23:44:58,2025-02-16T01:12:58
EVT-0009,P-0023,Yashvi Mandal,Muzaffarpur,19.7007,72.0746,2025-02-15T23:44:58,2025-02-16T01:12:58
EVT-0010,P-0012,Nitya Taneja,Siliguri,18.9908,73.8732,2025-01-19T14:27:14,2025-01-19T16:22:14
EVT-0010,P-0029,Aarna Bhandari,Siliguri,19.9243,73.8521,2025-01-19T14:27:14,2025-01-19T16:22:14
EVT-0011,P-0003,Amani Ravi,Bally,19.9782,73.0866,2025-06-21T10:21:38,2025-06-21T11:34:38
EVT-0011,P-0001,Rajesh Kumar,Bally,18.9878,73.8771,2025-06-21T10:21:38,2025-06-21T11:34:38
EVT-0012,P-0035,Miraan Raval,Bikaner,18.9178,72.5145,2025-06-19T05:54:58,2025-06-19T07:42:58
EVT-0012,P-0032,Ishita Amble,Bikaner,18.3724,73.4732,2025-06-19T05:54:58,2025-06-19T07:42:58
EVT-0013,P-0021,Dharmajan Rout,Akola,18.6559,72.8017,2025-07-27T15:34:19,2025-07-27T16:54:19
EVT-0013,P-0015,Nayantara Kumar,Akola,18.1908,73.9634,2025-07-27T15:34:19,2025-07-27T16:54:19
EVT-0014,P-0033,Vedika Kulkarni,Indore,19.5075,73.9081,2025-07-16T08:34:30,2025-07-16T09:46:30
EVT-0014,P-0023,Yashvi Mandal,Indore,18.6039,73.4458,2025-07-16T08:34:30,2025-07-16T09:46:30
EVT-0015,P-0001,Rajesh Kumar,Kanpur,18.6136,72.8108,2025-02-01T04:18:15,2025-02-01T05:32:15
EVT-0015,P-0019,Navya Devi,Kanpur,19.005,73.7902,2025-02-01T04:18:15,2025-02-01T05:32:15
EVT-0016,P-0022,Akarsh Rastogi,Patiala,18.4383,72.2671,2025-07-08T22:22:40,2025-07-08T23:05:40
EVT-0016,P-0008,Divit Bava,Patiala,18.3064,73.4955,2025-07-08T22:22:40,2025-07-08T23:05:40
EVT-0017,P-0026,Kartik Chokshi,Pune,18.4949,73.5095,2025-10-03T07:57:07,2025-10-03T09:49:07
EVT-0017,P-0029,Aarna Bhandari,Pune,19.7463,72.1637,2025-10-03T07:57:07,2025-10-03T09:49:07
EVT-0018,P-0031,Amani Basu,Bilaspur,19.6575,73.8058,2025-10-16T04:05:07,2025-10-16T04:27:07
EVT-0018,P-0036,Miraya Sanghvi,Bilaspur,18.4043,73.0733,2025-10-16T04:05:07,2025-10-16T04:27:07
EVT-0019,P-0011,Oorja Sehgal,Cuttack,19.1663,72.1819,2025-12-15T07:28:42,2025-12-15T09:14:42
EVT-0019,P-0023,Yashvi Mandal,Cuttack,19.0208,73.6174,2025-12-15T07:28:42,2025-12-15T09:14:42
EVT-0020,P-0032,Ishita Amble,Hajipur,19.3455,72.6163,2025-01-30T20:20:42,2025-01-30T21:34:42
EVT-0020,P-0009,Divij Shetty,Hajipur,18.0435,72.5089,2025-01-30T20:20:42,2025-01-30T21:34:42
