txn_id,sender_id,receiver_id,sender_name,receiver_name,amount,timestamp,txn_type,account_ref
TXN-0000,P-0038,P-0004,Ritvik Gade,Lakshit Sagar,250000,2025-01-23T14:57:32,bank_transfer,ACC-SEIZED-001
TXN-0001,P-0038,P-0015,Ritvik Gade,Nayantara Kumar,8500,2025-09-15T14:30:00,upi,ACC-6968
TXN-0002,P-0038,P-0015,Ritvik Gade,Nayantara Kumar,12000,2025-10-03T11:15:00,cash_deposit,ACC-4891
TXN-0001,P-0031,P-0021,Amani Basu,Dharmajan Rout,4333,2025-10-01T08:42:28,bank_transfer,ACC-8684
TXN-0002,P-0015,P-0026,Nayantara Kumar,Kartik Chokshi,7718,2025-08-25T10:15:32,bank_transfer,ACC-9239
TXN-0003,P-0036,P-0029,Miraya Sanghvi,Aarna Bhandari,13627,2025-11-06T05:02:20,bank_transfer,ACC-1854
TXN-0004,P-0033,P-0026,Vedika Kulkarni,Kartik Chokshi,14359,2025-09-22T04:32:21,bank_transfer,ACC-2374
TXN-0005,P-0011,P-0020,Oorja Sehgal,Amit Sharma,14115,2025-08-12T03:20:21,cash_deposit,ACC-8391
TXN-0006,P-0025,P-0002,Prisha Khanna,Indrans Chokshi,6626,2025-05-01T14:03:35,cash_deposit,ACC-7142
TXN-0007,P-0017,P-0002,Anahita Kant,Indrans Chokshi,12209,2025-11-29T12:12:27,cash_deposit,ACC-3254
TXN-0008,P-0003,P-0021,Amani Ravi,Dharmajan Rout,14116,2025-03-13T17:04:47,bank_transfer,ACC-1086
TXN-0009,P-0006,P-0002,Ayesha Andra,Indrans Chokshi,9491,2025-11-08T19:12:56,bank_transfer,ACC-2821
TXN-0010,P-0021,P-0018,Dharmajan Rout,Nirvaan Borah,7378,2025-11-24T22:40:33,bank_transfer,ACC-2029
TXN-0011,P-0008,P-0034,Divit Bava,Nitara Sule,8943,2025-10-22T08:48:31,upi,ACC-3352
TXN-0012,P-0021,P-0030,Dharmajan Rout,Divij Contractor,9849,2025-08-02T06:49:11,upi,ACC-2402
TXN-0013,P-0036,P-0026,Miraya Sanghvi,Kartik Chokshi,8812,2025-09-17T20:10:33,cash_deposit,ACC-7397
TXN-0014,P-0033,P-0003,Vedika Kulkarni,Amani Ravi,4655,2025-01-09T13:00:05,cash_deposit,ACC-6649
TXN-0015,P-0018,P-0007,Nirvaan Borah,Nishith Chowdhury,5947,2025-03-10T01:36:51,bank_transfer,ACC-9945
TXN-0016,P-0024,P-0012,Ranbir Wadhwa,Nitya Taneja,11893,2025-09-03T23:00:02,cash_deposit,ACC-3209
TXN-0017,P-0005,P-0032,D. Verma,Ishita Amble,13461,2025-04-13T01:31:32,bank_transfer,ACC-6080
TXN-0018,P-0035,P-0028,Miraan Raval,Ryan Mane,4650,2025-01-19T23:33:10,cash_deposit,ACC-5687
TXN-0019,P-0025,P-0004,Prisha Khanna,Lakshit Sagar,2539,2025-07-08T15:54:32,bank_transfer,ACC-8204
TXN-0020,P-0027,P-0024,Anvi Kannan,Ranbir Wadhwa,8651,2025-07-08T18:54:22,bank_transfer,ACC-2353
TXN-0021,P-0030,P-0006,Divij Contractor,Ayesha Andra,3456,2025-10-07T10:41:44,bank_transfer,ACC-2680
TXN-0022,P-0006,P-0023,Ayesha Andra,Yashvi Mandal,10373,2025-08-07T06:04:02,upi,ACC-8272
TXN-0023,P-0025,P-0031,Prisha Khanna,Amani Basu,6276,2025-11-11T15:50:08,bank_transfer,ACC-1939
TXN-0024,P-0005,P-0028,Deepak Verma,Ryan Mane,11631,2025-03-23T01:08:01,cash_deposit,ACC-8179
TXN-0025,P-0003,P-0009,Amani Ravi,Divij Shetty,6501,2025-07-05T13:56:21,upi,ACC-1530
