mention_id,fir_id,person_id,person_name,role_in_case,fir_date,fir_description,linked_account_ref
FM-001,FIR-2026-0042,P-0001,R. Kumar,accused,2025-06-26T02:19:17,Large cache of synthetic drugs seized at warehouse. Suspects arrested.,ACC-SEIZED-001
FM-002,FIR-2026-0042,P-0004,Lakshit Sagar,accused,2025-01-31T02:30:46,Large cache of synthetic drugs seized at warehouse. Suspects arrested.,ACC-SEIZED-001
FM-003,FIR-2026-0042,P-0002,Indrans Chokshi,accused,2025-08-30T01:09:19,Large cache of synthetic drugs seized at warehouse. Suspects arrested.,ACC-SEIZED-001
FM-010,FIR-2025-0884,P-0021,Dharmajan Rout,informant,2025-07-11T13:55:32,Labore quod maiores autem. Dolore nostrum quas tenetur omnis error officia.,
FM-011,FIR-2026-0484,P-0031,Amani Basu,accused,2025-12-16T19:38:07,Iste dolorem excepturi iste impedit atque. Est ducimus veritatis porro labore at.,
FM-012,FIR-2026-0221,P-0009,Divij Shetty,witness,2025-10-03T14:18:38,Sint quam voluptas nobis expedita neque. Culpa laboriosam sed expedita nam. Quis nemo rem sapiente.,
FM-013,FIR-2025-0954,P-0036,Miraya Sanghvi,accused,2025-01-12T10:51:47,Nemo nemo quae in beatae accusantium. Cupiditate veniam itaque porro facere ipsa.,
FM-014,FIR-2026-0644,P-0032,Ishita Amble,informant,2025-04-28T09:00:41,Atque perspiciatis eligendi quam omnis temporibus. Ex nesciunt consequuntur expedita.,
FM-015,FIR-2026-0293,P-0032,Ishita Amble,accused,2025-01-17T15:15:50,Voluptatum culpa eos ratione magni. Rerum sunt alias excepturi quisquam consectetur fugiat.,
FM-016,FIR-2025-0203,P-0002,Indrans Chokshi,accused,2025-08-17T21:45:52,Dolore eum aut quaerat excepturi corporis. Enim rerum possimus.,
FM-017,FIR-2025-0511,P-0004,Lakshit Sagar,informant,2025-04-30T19:39:07,Saepe libero modi odio. Doloribus corporis inventore nostrum dolores impedit optio.,
FM-018,FIR-2025-0243,P-0016,Darshit Salvi,suspect,2025-04-30T20:58:31,Id repellendus labore alias officia enim similique. Sint ex commodi.,
FM-019,FIR-2026-0342,P-0023,Yashvi Mandal,suspect,2025-03-15T18:58:41,Consequuntur non quos. Commodi doloremque officia.,
FM-020,FIR-2026-0162,P-0017,Anahita Kant,witness,2025-11-17T15:33:14,Doloribus rem illo iste porro culpa impedit. Dignissimos non est quaerat quasi similique voluptate.,
FM-021,FIR-2026-0758,P-0040,Tushar Sampath,informant,2025-09-26T11:36:17,Repellendus ut quam deleniti. Libero maiores libero est. Veniam magnam vitae dolor.,
FM-022,FIR-2026-0485,P-0029,Aarna Bhandari,witness,2025-10-03T17:14:25,Provident porro laborum laboriosam natus. Enim nemo molestiae tempore hic.,
FM-023,FIR-2026-0978,P-0018,Nirvaan Borah,witness,2025-08-26T02:05:52,Odit amet impedit quaerat aut. A mollitia ut illum. Labore dicta vitae eum officia tenetur at.,
FM-024,FIR-2026-0670,P-0040,Tushar Sampath,witness,2025-07-18T08:50:31,Necessitatibus autem voluptatem eligendi voluptatibus.,
FM-025,FIR-2025-0560,P-0019,Navya Devi,suspect,2025-02-17T19:30:06,Vero laboriosam iste voluptates fuga. Totam quidem reiciendis repudiandae quis perspiciatis nisi.,
FM-026,FIR-2026-0789,P-0015,Nayantara Kumar,accused,2025-02-07T06:51:02,Debitis consequatur odit quas vitae fugiat. Ipsum totam fugiat aspernatur vitae soluta.,
FM-027,FIR-2025-0990,P-0040,Tushar Sampath,suspect,2025-06-05T00:33:29,Fugit dolorem itaque culpa deleniti soluta quisquam. Repellat in quisquam. Dolores architecto nisi.,
FM-028,FIR-2025-0864,P-0016,Darshit Salvi,informant,2025-05-05T22:00:20,Rem nesciunt perferendis dolor distinctio. Esse tenetur distinctio deleniti qui quia.,
FM-029,FIR-2025-0665,P-0016,Darshit Salvi,suspect,2025-05-25T13:51:34,Sint qui accusamus mollitia nesciunt quam eos.,
FM-030,FIR-2026-0415,P-0032,Ishita Amble,suspect,2025-07-04T18:40:15,Totam molestiae odit animi. Saepe asperiores repellendus. Quisquam impedit sapiente.,
FM-031,FIR-2026-0879,P-0034,Nitara Sule,suspect,2025-04-15T13:29:49,Voluptate accusantium repellat perferendis rem tenetur autem. Minima dolores nulla dolorum.,
